"","vehicle_make","vehicle_model","vehicle_year","vehicle_colour","vehicle_value","occurred_date","reported_date","weekday","recovered","year","theft_year"
"91","HYUN","SFT",2016,"GRY",0,"1/21/2020 5:00:00 AM","1/21/2020 5:00:00 AM","Tue","Y",2020,2020
"92","HOND","CIV",2007,"RED",0,"8/30/2020 4:00:00 AM","8/30/2020 4:00:00 AM","Sun","Y",2020,2020
"93","NISS","MAX",2011,"SIL",0,"10/2/2020 4:00:00 AM","10/3/2020 4:00:00 AM","Fri","N",2020,2020
"94","TOYT","CAM",2016,"BLK",0,"4/18/2021 4:00:00 AM","4/18/2021 4:00:00 AM","Sat","Y",2021,2021
"95","TOYT","HIG",2018,"BLK",0,"8/20/2021 4:00:00 AM","8/20/2021 4:00:00 AM","Thu","N",2021,2021
"96",NA,NA,0,NA,0,"9/24/2021 4:00:00 AM","9/26/2021 4:00:00 AM","Fri","N",2021,2021
"97","HOND","CIV",2016,"BLU",0,"3/4/2021 5:00:00 AM","3/4/2021 5:00:00 AM","Wed","Y",2021,2021
"98","NISS","M3S",2018,"WHI",0,"4/17/2021 4:00:00 AM","4/18/2021 4:00:00 AM","Sat","Y",2021,2021
"99","FORD","F15",2018,"GRY",0,"5/16/2021 4:00:00 AM","5/15/2021 4:00:00 AM","Sat","Y",2021,2021
"100","HYUN","ELN",2016,"GRY",10000,"4/6/2021 4:00:00 AM","4/6/2021 4:00:00 AM","Tue","Y",2021,2021
"101","DODG","AVN",2008,"BLU",500,"5/5/2021 4:00:00 AM","5/12/2021 4:00:00 AM","Wed","N",2021,2021
"102","KIA","RON",2011,"RED",10000,"7/31/2021 4:00:00 AM","8/1/2021 4:00:00 AM","Fri","Y",2021,2021
"103","NISS","JUK",2016,"BLK",0,"7/28/2021 4:00:00 AM","7/28/2021 4:00:00 AM","Wed","Y",2021,2021
"104","TOYT","TAC",2020,"WHI",0,"8/20/2021 4:00:00 AM","8/20/2021 4:00:00 AM","Fri","N",2021,2021
"105","FORD",NA,2020,"BLK",0,"7/18/2021 4:00:00 AM","7/18/2021 4:00:00 AM","Sat","Y",2021,2021
"106","TOYT","HIG",2017,"BRN",0,"3/11/2021 5:00:00 AM","3/11/2021 5:00:00 AM","Thu","Y",2021,2021
"107","CAT","420D",0,"YEL",0,"7/9/2022 4:00:00 AM","7/11/2022 4:00:00 AM","Sat","Y",2022,2022
"108","LEXS","NXT",2015,"GRY",0,"4/15/2022 4:00:00 AM","4/15/2022 4:00:00 AM","Thu","N",2022,2022
"109","HYUN","SAN",2013,"BLU",0,"1/6/2022 5:00:00 AM","1/6/2022 5:00:00 AM","Wed","N",2022,2022
"110","LEXS","RX35",2020,"WHI",0,"6/1/2022 4:00:00 AM","6/2/2022 4:00:00 AM","Wed","Y",2022,2022
"111","HOND","UDY",2020,"GRY",0,"6/29/2022 4:00:00 AM","6/29/2022 4:00:00 AM","Tue","Y",2022,2022
"112","FORD","ESP",2013,"BLK",22000,"9/21/2022 4:00:00 AM","9/22/2022 4:00:00 AM","Wed","Y",2022,2022
"113","AUDI","AA4",2006,"RED",0,"4/21/2022 4:00:00 AM","4/23/2022 4:00:00 AM","Thu","Y",2022,2022
"114","FORD","EXP",2022,"BLK",0,"11/23/2022 5:00:00 AM","11/23/2022 5:00:00 AM","Tue","Y",2022,2022
"115","GMC","SAV",2019,"WHI",0,"4/2/2022 4:00:00 AM","4/7/2022 4:00:00 AM","Sat","N",2022,2022
"116","GMC","SAV",2019,"WHI",0,"4/2/2022 4:00:00 AM","4/7/2022 4:00:00 AM","Sat","N",2022,2022
