OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,x,y
34356,2020,ACUR,RDX,CARRY,BLK,40000,Fri,N,Old Barrhaven West,BARRHAVEN,Sector 16,9/24/2022 4:00:00 AM,9/24/2022 4:00:00 AM,2022,361961.865517543,5014349.42359558
34357,2012,HYUN,SON,4DR,SIL,0,Sat,Y,Old Barrhaven West,BARRHAVEN,Sector 16,5/22/2022 4:00:00 AM,5/21/2022 4:00:00 AM,2022,363023.874412571,5015824.43842995
34358,2021,TOYT,HIG,CARRY,WHI,0,Sun,N,Old Barrhaven West,BARRHAVEN,Sector 16,10/9/2022 4:00:00 AM,10/9/2022 4:00:00 AM,2022,362935.87440524,5016173.44134102
34359,2020,JEEP,GCH,CARRY,RED,0,Thu,Y,Old Barrhaven West,BARRHAVEN,Sector 16,1/14/2022 5:00:00 AM,1/14/2022 5:00:00 AM,2022,362145.869383079,5015622.43547684
34360,2021,TOYT,HIG,CARRY,GRY,50000,Thu,Y,Old Barrhaven West,BARRHAVEN,Sector 16,8/25/2022 4:00:00 AM,8/25/2022 4:00:00 AM,2022,361667.864521374,5014805.42766417
34361,2019,LEXS,RX3,CARRY,BLK,0,Sat,N,Old Barrhaven West,BARRHAVEN,Sector 16,1/17/2022 5:00:00 AM,1/15/2022 5:00:00 AM,2022,361137.514694213,5015006.00274877
34362,2022,NA,NA,MOTO,BLK,0,Mon,Y,Old Barrhaven West,BARRHAVEN,Sector 16,5/23/2022 4:00:00 AM,5/23/2022 4:00:00 AM,2022,361137.514694213,5015006.00274877
34363,2022,RAM,15,PICKUP,SIL,76000,Wed,N,Old Barrhaven West,BARRHAVEN,Sector 16,12/22/2022 5:00:00 AM,12/22/2022 5:00:00 AM,2022,363327.878193144,5016726.44725903
34364,2020,DODG,DUR,CARRY,GRY,0,Wed,Y,Old Barrhaven West,BARRHAVEN,Sector 16,1/19/2022 5:00:00 AM,1/19/2022 5:00:00 AM,2022,361192.679609087,5014912.73672308
34365,2019,TOYT,HIG,CARRY,BLK,50000,Sat,N,Old Barrhaven West,BARRHAVEN,Sector 16,6/19/2022 4:00:00 AM,6/19/2022 4:00:00 AM,2022,361396.780674833,5014647.17676182
34366,2019,HOND,PIL,CARRY,WHI,0,Wed,N,Old Barrhaven West,BARRHAVEN,Sector 16,6/16/2022 4:00:00 AM,6/16/2022 4:00:00 AM,2022,363914.882209699,5017155.45106492
34367,2019,TOYT,HIG,CARRY,BLK,0,Sat,N,Old Barrhaven West,BARRHAVEN,Sector 16,7/2/2022 4:00:00 AM,7/2/2022 4:00:00 AM,2022,361241.729451322,5014854.72572753
34368,2020,HOND,CRV,CARRY,WHI,37000,Thu,Y,Old Barrhaven West,BARRHAVEN,Sector 16,10/21/2022 4:00:00 AM,10/21/2022 4:00:00 AM,2022,361288.6316425,5014583.95677888
34369,2020,HOND,CRV,CARRY,BLK,45000,Sun,Y,Old Barrhaven West,BARRHAVEN,Sector 16,8/1/2022 4:00:00 AM,7/31/2022 4:00:00 AM,2022,361675.256466621,5014389.10970389
34370,2020,HOND,UDY,CARRY,RED,0,Fri,Y,Old Barrhaven West,BARRHAVEN,Sector 16,7/15/2022 4:00:00 AM,7/15/2022 4:00:00 AM,2022,361618.5715868,5014095.69467672
34371,2021,HOND,CRV,CARRY,GRY,0,Fri,N,Old Barrhaven West,BARRHAVEN,Sector 16,7/15/2022 4:00:00 AM,7/15/2022 4:00:00 AM,2022,361784.272327079,5013955.13985837
34372,2020,TOYT,HIG,CARRY,GRY,0,Sat,N,Old Barrhaven West,BARRHAVEN,Sector 16,10/9/2022 4:00:00 AM,10/9/2022 4:00:00 AM,2022,361179.450577674,5015089.94162393
34373,2020,HOND,UDY,CARRY,WHI,0,Fri,Y,Old Barrhaven West,BARRHAVEN,Sector 16,7/15/2022 4:00:00 AM,7/15/2022 4:00:00 AM,2022,361675.256466621,5014389.10970389
34374,2019,TOYT,HIG,CARRY,WHI,55000,Fri,Y,Old Barrhaven West,BARRHAVEN,Sector 16,9/24/2022 4:00:00 AM,9/24/2022 4:00:00 AM,2022,361469.494622799,5014690.45376793
34375,2017,HOND,NA,4DR,BLK,18000,Wed,N,Old Barrhaven West,BARRHAVEN,Sector 16,5/4/2022 4:00:00 AM,5/5/2022 4:00:00 AM,2022,361470.171670543,5014900.12274839
34376,2020,HOND,UDY,CARRY,GRY,0,Tue,N,Old Barrhaven West,BARRHAVEN,Sector 16,8/16/2022 4:00:00 AM,8/16/2022 4:00:00 AM,2022,361371.949847276,5015147.16379063
34377,2014,INFI,QX6,CARRY,SIL,0,Wed,N,Old Barrhaven West,BARRHAVEN,Sector 16,9/1/2022 4:00:00 AM,9/1/2022 4:00:00 AM,2022,361573.984513739,5013990.23879697
34378,2019,LEXS,NA,CARRY,GRY,0,Mon,N,Old Barrhaven West,BARRHAVEN,Sector 16,6/27/2022 4:00:00 AM,6/27/2022 4:00:00 AM,2022,361426.811659242,5014815.43973715
34379,2018,TOYT,HIG,CARRY,BLU,0,Wed,N,Old Barrhaven West,BARRHAVEN,Sector 16,8/18/2022 4:00:00 AM,8/18/2022 4:00:00 AM,2022,361479.885630502,5015088.75153678
34380,2021,JEEP,NA,CARRY,BLK,0,Mon,N,Old Barrhaven West,BARRHAVEN,Sector 16,6/27/2022 4:00:00 AM,6/27/2022 4:00:00 AM,2022,361784.272327079,5013955.13985837
34381,2021,TOYT,TAC,PICKUP,BLK,60000,Sat,N,Old Barrhaven West,BARRHAVEN,Sector 16,8/6/2022 4:00:00 AM,8/6/2022 4:00:00 AM,2022,363660.879188228,5016468.44542367
34382,2018,TOYT,HIG,CARRY,WHI,0,Fri,Y,Old Barrhaven West,BARRHAVEN,Sector 16,6/24/2022 4:00:00 AM,6/24/2022 4:00:00 AM,2022,361637.147496416,5013962.88069863
34383,2021,DODG,DUR,CARRY,WHI,30000,Fri,Y,Old Barrhaven West,BARRHAVEN,Sector 16,7/15/2022 4:00:00 AM,7/15/2022 4:00:00 AM,2022,361637.147496416,5013962.88069863
34384,2005,DODG,RPC,PICKUP,SIL,0,Thu,N,Old Barrhaven West,BARRHAVEN,Sector 16,11/25/2022 5:00:00 AM,11/24/2022 5:00:00 AM,2022,361498.832733018,5014101.42888907
34385,2021,DODG,R15,PICKUP,BLK,65000,Sun,Y,Old Barrhaven West,BARRHAVEN,Sector 16,3/12/2023 5:00:00 AM,3/12/2023 5:00:00 AM,2023,363023.874412571,5015824.43842995
34386,2021,JEEP,NA,CARRY,BLK,0,Tue,Y,Old Barrhaven West,BARRHAVEN,Sector 16,2/7/2023 5:00:00 AM,2/7/2023 5:00:00 AM,2023,361971.868600242,5015624.43547475
34387,2022,RAM,15,PICKUP,BLK,55000,Sat,N,Old Barrhaven West,BARRHAVEN,Sector 16,3/12/2023 5:00:00 AM,3/11/2023 5:00:00 AM,2023,362705.871412812,5015215.43251318
34388,2021,JEEP,NA,4DR,MRN,47000,Mon,N,Old Barrhaven West,BARRHAVEN,Sector 16,1/17/2023 5:00:00 AM,1/17/2023 5:00:00 AM,2023,362173.867400134,5014413.42471944
34389,2020,JEEP,NA,PICKUP,BLK,70000,Mon,Y,Old Barrhaven West,BARRHAVEN,Sector 16,1/16/2023 5:00:00 AM,1/16/2023 5:00:00 AM,2023,362193.86630664,5014082.42177452
34390,2019,JEEP,WRG,CARRY,WHI,80000,Mon,Y,Old Barrhaven West,BARRHAVEN,Sector 16,1/23/2023 5:00:00 AM,1/23/2023 5:00:00 AM,2023,361593.07460308,5014246.96862899
34391,2021,JEEP,NA,CARRY,WHI,66000,Tue,N,Old Barrhaven West,BARRHAVEN,Sector 16,2/7/2023 5:00:00 AM,2/7/2023 5:00:00 AM,2023,363351.877370066,5016468.4442903
34392,2020,TOYT,NA,CARRY,GRY,0,Thu,N,Old Barrhaven West,BARRHAVEN,Sector 16,5/4/2023 4:00:00 AM,5/4/2023 4:00:00 AM,2023,361704.866425155,5015606.43547826
34393,2021,TOYT,GZG,CARRY,BLK,50000,Wed,Y,Old Barrhaven West,BARRHAVEN,Sector 16,5/3/2023 4:00:00 AM,5/3/2023 4:00:00 AM,2023,361924.865544617,5014595.42661163
34394,2018,CHRY,PAC,VAN,BLU,0,Wed,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,8/29/2018 4:00:00 AM,8/29/2018 4:00:00 AM,2018,375006.918922177,5033567.57610127
34395,2011,NISS,NA,2DR,BLK,0,Sun,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,12/26/2018 5:00:00 AM,12/2/2018 5:00:00 AM,2018,374990.5168056,5033483.44347268
34396,2006,TOYT,YAR,2DR,BLU,0,Tue,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,5/30/2018 4:00:00 AM,5/30/2018 4:00:00 AM,2018,375633.037676433,5033450.74221914
34397,2009,PONT,VIB,4DR,BLK,4000,Thu,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,8/16/2018 4:00:00 AM,8/16/2018 4:00:00 AM,2018,375085.888084537,5033540.10571919
34398,2007,BMW,35I,2DR,GRY,0,Tue,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,6/9/2018 4:00:00 AM,6/6/2018 4:00:00 AM,2018,374776.554981471,5034235.26660737
34399,2011,VOLK,GTI,4DR,GRY,0,Mon,N,Rothwell Heights - Beacon Hill North,BEACON HILL-CYRVILLE,Sector 32,5/29/2018 4:00:00 AM,5/29/2018 4:00:00 AM,2018,375709.280365146,5034587.68860324
34400,2018,LEXS,NX30,4DR,GRY,0,Thu,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,7/26/2019 4:00:00 AM,7/26/2019 4:00:00 AM,2019,374683.404799532,5033412.899093
34401,2011,HOND,CRV,CARRY,GRY,0,Mon,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,10/29/2019 4:00:00 AM,10/28/2019 4:00:00 AM,2019,374525.916043809,5033929.57986277
34402,2003,HYUN,EST,4DR,RED,0,Fri,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,1/9/2019 5:00:00 AM,1/4/2019 5:00:00 AM,2019,374167.913854839,5034311.58478247
34403,2018,TOYT,HIG,CARRY,WHI,46000,Sat,N,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,7/14/2019 4:00:00 AM,7/14/2019 4:00:00 AM,2019,375089.918882425,5033696.57605117
34404,2014,TOYT,HIG,CARRY,WHI,29498,Mon,N,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,7/8/2019 4:00:00 AM,7/8/2019 4:00:00 AM,2019,374683.404799532,5033412.899093
34405,2018,LEXS,NX30,4DR,GRY,0,Thu,N,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,12/11/2020 5:00:00 AM,12/11/2020 5:00:00 AM,2020,374683.404799532,5033412.899093
34406,2007,CHEV,NA,PICKUP,DGR,0,Tue,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,1/21/2020 5:00:00 AM,1/21/2020 5:00:00 AM,2020,375089.918882425,5033696.57605117
34407,2016,HYUN,SFT,CARRY,GRY,0,Tue,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,1/21/2020 5:00:00 AM,1/21/2020 5:00:00 AM,2020,375089.918882425,5033696.57605117
34408,2007,HOND,CIV,4DR,RED,0,Sun,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,8/30/2020 4:00:00 AM,8/30/2020 4:00:00 AM,2020,375672.919650126,5034350.57973052
34409,2011,NISS,MAX,4DR,SIL,0,Fri,N,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,10/3/2020 4:00:00 AM,10/2/2020 4:00:00 AM,2020,375633.037676433,5033450.74221914
34410,2016,TOYT,CAM,4DR,BLK,0,Sat,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,4/18/2021 4:00:00 AM,4/18/2021 4:00:00 AM,2021,374800.018958591,5034070.35377479
34411,2018,TOYT,HIG,CARRY,BLK,0,Thu,N,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,8/20/2021 4:00:00 AM,8/20/2021 4:00:00 AM,2021,374886.403950454,5033787.06284825
34412,0,NA,NA,NA,NA,0,Fri,N,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,9/26/2021 4:00:00 AM,9/24/2021 4:00:00 AM,2021,374891.917842482,5033959.57901759
34413,2016,HOND,CIV,4DR,BLU,0,Wed,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,3/4/2021 5:00:00 AM,3/4/2021 5:00:00 AM,2021,375333.918850261,5034073.5789872
34414,2018,NISS,M3S,4DR,WHI,0,Sat,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,4/18/2021 4:00:00 AM,4/17/2021 4:00:00 AM,2021,375333.918850261,5034073.5789872
34415,2018,FORD,F15,PICKUP,GRY,0,Sat,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,5/15/2021 4:00:00 AM,5/16/2021 4:00:00 AM,2021,375672.919650126,5034350.57973052
34416,2016,HYUN,ELN,4DR,GRY,10000,Tue,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,4/6/2021 4:00:00 AM,4/6/2021 4:00:00 AM,2021,374604.917881579,5033554.57692722
34417,2008,DODG,AVN,4DR,BLU,500,Wed,N,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,5/12/2021 4:00:00 AM,5/5/2021 4:00:00 AM,2021,375537.9207245,5033652.57386108
34418,2011,KIA,RON,4DR,RED,10000,Fri,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,8/1/2021 4:00:00 AM,7/31/2021 4:00:00 AM,2021,375590.920726251,5033963.57682723
34419,2016,NISS,JUK,CARRY,BLK,0,Wed,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,7/28/2021 4:00:00 AM,7/28/2021 4:00:00 AM,2021,374530.916046103,5034137.58201319
34420,2020,TOYT,TAC,PICKUP,WHI,0,Fri,N,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,8/20/2021 4:00:00 AM,8/20/2021 4:00:00 AM,2021,374167.913854839,5034311.58478247
34421,2020,FORD,NA,PICKUP,BLK,0,Sat,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,7/18/2021 4:00:00 AM,7/18/2021 4:00:00 AM,2021,374800.796213983,5033368.43155278
34422,2017,TOYT,HIG,4DR,BRN,0,Thu,Y,Rothwell Heights - Beacon Hill North,BEACON HILL-CYRVILLE,Sector 32,3/11/2021 5:00:00 AM,3/11/2021 5:00:00 AM,2021,376125.919590373,5034852.58260694
34423,0,CAT,420D,OTHER,YEL,0,Sat,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,7/11/2022 4:00:00 AM,7/9/2022 4:00:00 AM,2022,376223.920610797,5034599.57963412
34424,2015,LEXS,NXT,CARRY,GRY,0,Thu,N,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,4/15/2022 4:00:00 AM,4/15/2022 4:00:00 AM,2022,375006.918922177,5033567.57610127
34425,2013,HYUN,SAN,CARRY,BLU,0,Wed,N,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,1/6/2022 5:00:00 AM,1/6/2022 5:00:00 AM,2022,375537.411524086,5034206.89614603
34426,2020,LEXS,RX35,NA,WHI,0,Wed,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,6/2/2022 4:00:00 AM,6/1/2022 4:00:00 AM,2022,374955.918945237,5033813.57792893
34427,2020,HOND,UDY,CARRY,GRY,0,Tue,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,6/29/2022 4:00:00 AM,6/29/2022 4:00:00 AM,2022,374925.917822219,5033886.5779626
34428,2013,FORD,ESP,CARRY,BLK,22000,Wed,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,9/22/2022 4:00:00 AM,9/21/2022 4:00:00 AM,2022,375333.918850261,5034073.5789872
34429,2006,AUDI,AA4,4DR,RED,0,Thu,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,4/23/2022 4:00:00 AM,4/21/2022 4:00:00 AM,2022,375537.9207245,5033652.57386108
34430,2022,FORD,EXP,OTHER,BLK,0,Tue,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,11/23/2022 5:00:00 AM,11/23/2022 5:00:00 AM,2022,375590.920726251,5033963.57682723
34431,2019,GMC,SAV,VAN,WHI,0,Sat,N,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,4/7/2022 4:00:00 AM,4/2/2022 4:00:00 AM,2022,375672.919650126,5034350.57973052
34432,2019,GMC,SAV,VAN,WHI,0,Sat,N,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,4/7/2022 4:00:00 AM,4/2/2022 4:00:00 AM,2022,375672.919650126,5034350.57973052
34433,2021,TOYT,COR,4DR,WHI,0,Sat,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,1/10/2022 5:00:00 AM,1/9/2022 5:00:00 AM,2022,374079.231769896,5034283.2323828
34434,2019,FORD,MUS,2DR,ONG,20000,Fri,Y,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,11/25/2022 5:00:00 AM,11/26/2022 5:00:00 AM,2022,375848.919626545,5034514.58079239
34435,2021,TOYT,RAV,NA,RED,0,Wed,N,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,3/16/2023 4:00:00 AM,3/16/2023 4:00:00 AM,2023,375089.918882425,5033696.57605117
34436,2021,TOYT,4RN,CARRY,BLK,0,Tue,N,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,1/24/2023 5:00:00 AM,1/24/2023 5:00:00 AM,2023,375172.806400039,5033091.47007203
34437,2022,RAM,DUR,PICKUP,RED,0,Sun,N,Beacon Hill South - Cardinal Heights,BEACON HILL-CYRVILLE,Sector 32,3/19/2023 4:00:00 AM,3/19/2023 4:00:00 AM,2023,374721.918948578,5033323.57395662
